2025/05/02 16:18:14 [error] 27236#45680: *23441 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-cron.php?doing_wp_cron=1746195493.9225280284881591796875 HTTP/1.1", upstream: "fastcgi://127.0.0.1:10014", host: "petsittersnearme.local"
2025/05/03 08:36:22 [error] 44220#13124: *2490 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10014", host: "petsittersnearme.local", referrer: "http://petsittersnearme.local/wp-admin/admin.php?page=simply-static-settings"
2025/05/03 08:36:22 [error] 44220#13124: *2494 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10014", host: "petsittersnearme.local", referrer: "http://petsittersnearme.local/wp-admin/admin.php?page=simply-static-settings"
2025/05/03 08:36:22 [error] 44220#13124: *2492 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10015", host: "petsittersnearme.local", referrer: "http://petsittersnearme.local/wp-admin/admin.php?page=simply-static-settings"
2025/05/03 08:36:22 [error] 44220#13124: *2492 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "petsittersnearme.local", referrer: "http://petsittersnearme.local/wp-admin/admin.php?page=simply-static-settings"
2025/05/03 08:36:22 [error] 44220#13124: *2498 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10015", host: "petsittersnearme.local", referrer: "http://petsittersnearme.local/wp-admin/admin.php?page=simply-static-settings"
2025/05/03 08:36:22 [error] 44220#13124: *2498 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "petsittersnearme.local", referrer: "http://petsittersnearme.local/wp-admin/admin.php?page=simply-static-settings"
2025/05/03 08:36:22 [error] 44220#13124: *2494 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10015", host: "petsittersnearme.local", referrer: "http://petsittersnearme.local/wp-admin/admin.php?page=simply-static-settings"
2025/05/03 08:36:22 [error] 44220#13124: *2490 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10015", host: "petsittersnearme.local", referrer: "http://petsittersnearme.local/wp-admin/admin.php?page=simply-static-settings"
2025/05/03 08:36:22 [error] 44220#13124: *2500 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10015", host: "petsittersnearme.local", referrer: "http://petsittersnearme.local/wp-admin/admin.php?page=simply-static-settings"
2025/05/03 08:36:22 [error] 44220#13124: *2500 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "petsittersnearme.local", referrer: "http://petsittersnearme.local/wp-admin/admin.php?page=simply-static-settings"
